director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Akshay Shere,Mohit Alawat,Kalki Koechlin,Vinay Pathak,Drama,the film emotional atyachar,Mohit Alawat Kalki Koechlin Vinay Pathak Akshay Shere Drama
Abhinav Kashyap,Salman Khan,Arbaaz Khan,Sonakshi Sinha,Action,dabangg,Salman Khan Arbaaz Khan Sonakshi Sinha Abhinav Kashyap Action
Rahsaan Islam,Rahsaan Islam,Bakhtiar Hafeez,Trishna Murad,Comedy,kings of devon,Rahsaan Islam Bakhtiar Hafeez Trishna Murad Rahsaan Islam Comedy
Raj Kumar Gupta,Rani Mukherjee,Vidya Balan,unknown,Social thriller,no one killed jessica,Rani Mukherjee Vidya Balan unknown Raj Kumar Gupta Social thriller
Rahat Kazmi,Vivek Sudershan,Sayali Bhagat,unknown,Adult/Comedy/Romance,impatient vivek,Vivek Sudershan Sayali Bhagat unknown Rahat Kazmi Adult/Comedy/Romance
Samir Karnik,Dharmendra,Sunny Deol,Bobby Deol,Comedy/Drama/Action,yamla pagla deewana,Dharmendra Sunny Deol Bobby Deol Samir Karnik Comedy/Drama/Action
Alankrita Shrivastava,Purab Kohli,Gul Panag,unknown,Adult/Romance/Comedy,turning 30!!!,Purab Kohli Gul Panag unknown Alankrita Shrivastava Adult/Romance/Comedy
Aman Mihani,Shilpa Shukla,Mohsin Akhtar,unknown,Comedy/Comedy/Comedy,mumbai mast kallander,Shilpa Shukla Mohsin Akhtar unknown Aman Mihani Comedy/Comedy/Comedy
Sagar Ambre Nikunj Pathak,Diksha Tomar,unknown,unknown,Social,odyssey of persistence,Diksha Tomar unknown unknown Sagar Ambre Nikunj Pathak Social
Kiran Rao,Prateik Babbar,Aamir Khan,Monica Dogra,Drama,dhobi ghat,Prateik Babbar Aamir Khan Monica Dogra Kiran Rao Drama
Manish Gupta,Vatsal Sheth,Tulip Joshi,Mukesh Tiwari,Social,hostel,Vatsal Sheth Tulip Joshi Mukesh Tiwari Manish Gupta Social
Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Om Puri,Comedy,dil toh baccha hai ji,Ajay Devgn Emraan Hashmi Om Puri Madhur Bhandarkar Comedy
Sudhir Mishra,Arunoday Singh,Chitrangada Singh,Irrfan Khan,Cult,yeh saali zindagi,Arunoday Singh Chitrangada Singh Irrfan Khan Sudhir Mishra Cult
Vishal Aryan Singh,Parvathy Omanakuttan,unknown,unknown,Action/Thriller,united six,Parvathy Omanakuttan unknown unknown Vishal Aryan Singh Action/Thriller
Srikanth V. Velagaleti,Vinay Pathak,Mahie Gill,Mona Singh,Comedy,utt pataang,Vinay Pathak Mahie Gill Mona Singh Srikanth V. Velagaleti Comedy
Ganesh Acharya,Nilesh Sahay,Madalasa Sharma,Aruna Irani,Drama,angel,Nilesh Sahay Madalasa Sharma Aruna Irani Ganesh Acharya Drama
Nikhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,Family drama,patiala house,Rishi Kapoor Dimple Kapadia Akshay Kumar Nikhil Advani Family drama
Shankhadeep,Ishaan Manhaas,Ankita Shrivastava,unknown,Romance,aashiqui.in,Ishaan Manhaas Ankita Shrivastava unknown Shankhadeep Romance
Vishal Bhardwaj,Priyanka Chopra,Neil Nitin Mukesh,Naseeruddin Shah,Thriller/Black comedy,7 khoon maaf,Priyanka Chopra Neil Nitin Mukesh Naseeruddin Shah Vishal Bhardwaj Thriller/Black comedy
Sagar Ballary,Vinay Pathak,Sarika,Rukhsar,Children,kaccha limbo,Vinay Pathak Sarika Rukhsar Sagar Ballary Children
Vikram Pradhan,Rajpal Yadav,Johnny Lever,Divya Dutta,Comedy,masti express,Rajpal Yadav Johnny Lever Divya Dutta Vikram Pradhan Comedy
Anand Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,Romance/Drama,tanu weds manu,Madhavan Kangana Ranaut Jimmy Sheirgill Anand Rai Romance/Drama
Vineet Khetrapal,Jackie Shroff,Kay Kay Menon,Rupali Ganguly,Family,satrangee parachute,Jackie Shroff Kay Kay Menon Rupali Ganguly Vineet Khetrapal Family
Yogesh Mittal,Anupam Kher,Pavan Malhotra,unknown,Drama,yeh faasley,Anupam Kher Pavan Malhotra unknown Yogesh Mittal Drama
Anay,Anay,Kurush Deboo,Mohit Ghai,Comedy,happy husbands,Anay Kurush Deboo Mohit Ghai Anay Comedy
